starting ...
Status Connected          2224487360
Data  GameReadyToStart    2224487428
Data  NewTurn             2224487436
Data  PlaceWall           2224491559
Data  NewTurn             2224491565
Data  PlayerMove          2224491676
Data  NewTurn             2224491677
Data  PlayerMove          2224495392
Data  NewTurn             2224495392
Data  PlayerMove          2224495492
Data  NewTurn             2224495492
Data  PlayerMove          2224496810
Data  NewTurn             2224496810
Data  PlayerMove          2224496909
Data  NewTurn             2224496909
Data  PlayerMove          2224497360
Data  NewTurn             2224497360
Data  PlayerMove          2224497460
Data  NewTurn             2224497460
Data  PlayerMove          2224497909
Data  NewTurn             2224497909
Data  PlayerMove          2224498009
Data  NewTurn             2224498009
Data  PlayerMove          2224498442
Data  NewTurn             2224498442
Data  PlayerMove          2224498559
Data  NewTurn             2224498559
Data  PlaceWall           2224504893
Data  NewTurn             2224504898
Data  PlayerMove          2224505009
Data  NewTurn             2224505009
Data  PlayerMove          2224506643
Data  NewTurn             2224506643
Data  PlayerMove          2224506759
Data  NewTurn             2224506759
Data  PlayerMove          2224507526
Data  NewTurn             2224507526
Status Disconnected       2224532393
CloseLog
